llm_name,method,batch_size,max_epochs,lr0,gradient_accumulation_steps,lr_scheduler_type,optimizer_type,identifier,best_val_loss,avg_rouge_l,avg_bertscore
Llama-3.2-3B-Instruct,finetune,1,10,1.00E-04,16,polynomial_decay,adamw,12011789_10,0.3645778248086572,0.381,0.882
Llama-3.2-3B-Instruct,finetune,1,10,1.00E-04,16,linear,adamw,12011791_11,0.364646490290761,0.376,0.886
Llama-3.2-3B-Instruct,finetune,1,15,8.00E-05,16,linear,adamw,12011862_19,0.3657675748690963,0.375,0.884
Llama-3.2-3B,finetune,1,10,1.00E-04,16,polynomial_decay,adamw,12011739_2,0.41032458320260046,0.372,0.883
Llama-3.2-3B-Instruct,finetune,1,10,5.00E-04,16,linear,adamw,12011736_15,0.368067785166204,0.37,0.88
Llama-3.2-3B-Instruct,finetune,1,10,5.00E-04,8,polynomial_decay,adamw,12011811_12,0.3656808340921998,0.366,0.884
Llama-3.2-3B,finetune,1,10,5.00E-04,16,linear,adamw,12011773_7,0.4067465256899595,0.365,0.882
Llama-3.2-3B-Instruct,finetune,1,10,1.00E-04,8,polynomial_decay,adamw,12011786_8,0.36352282091975213,0.364,0.882
Llama-3.2-3B,finetune,1,15,8.00E-05,16,linear,adamw,12011864_17,0.4113640014082193,0.363,0.88
Llama-3.2-3B-Instruct,finetune,1,15,4.00E-05,16,linear,adamw,12011865_18,0.366777578368783,0.363,0.879
Llama-3.2-3B,finetune,1,10,1.00E-04,16,linear,adamw,12011740_3,0.41053074821829794,0.361,0.88
Llama-3.2-3B-Instruct,finetune,1,10,5.00E-04,8,linear,adamw,12011812_13,0.36575381737202406,0.361,0.88
Llama-3.2-3B-Instruct,finetune,1,10,1.00E-04,8,linear,adamw,12011787_9,0.36355177462100985,0.36,0.883
Llama-3.2-3B,finetune,1,10,1.00E-04,8,polynomial_decay,adamw,12011737_0,0.4098186332732439,0.353,0.88
Llama-3.2-3B,finetune,1,10,1.00E-04,8,linear,adamw,12011738_1,0.410139948874712,0.353,0.879
Llama-3.2-3B-Instruct,finetune,1,10,5.00E-04,16,polynomial_decay,adamw,12011816_14,0.3680508280172944,0.352,0.88
Llama-3.2-3B,finetune,1,15,4.00E-05,16,linear,adamw,12011863_16,0.41525096334517003,0.343,0.876
Llama-3.2-3B,finetune,1,10,5.00E-04,16,polynomial_decay,adamw,12011772_6,0.4068762887269258,0.336,0.875
